name,eval_task_name,model_name,data_dir,model_name_or_path,task_name,output_dir,replacing_rate,scheduler_type,scheduler_linear_k,steps_for_replacing,model_type,config_name,tokenizer_name,cache_dir,max_seq_length,do_train,do_eval,evaluate_during_training,do_lower_case,per_gpu_train_batch_size,per_gpu_eval_batch_size,gradient_accumulation_steps,learning_rate,weight_decay,adam_epsilon,max_grad_norm,num_train_epochs,warmup_steps,no_cuda,overwrite_output_dir,overwrite_cache,n_gpu,output_mode,train_batch_size,eval_batch_size,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_Nhotels_sentence-run-1,multiemo_en_hotels_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,multiemo_en_Nhotels_sentence,data/models/bert-of-theseus/multiemo_en_Nhotels_sentence-run-1,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,739.240465,0.6969818913480885,3.248648,0.48214285714285715,0.47038327526132406,0.4761904761904762,287,0.8230088495575221,0.7202323330106486,0.7681982447083118,1033,0.734375,0.7790055248618785,0.7560321715817693,724,0.5422138836772983,0.655328798185941,0.5934291581108829,441,0.6454351475944194,0.656237482829948,0.64846251264786,2485,0.7079867059535649,0.6969818913480885,0.6999134826569228,2485,267873391,267832336,66958084
multiemo_en_Nhotels_sentence-run-2,multiemo_en_hotels_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,multiemo_en_Nhotels_sentence,data/models/bert-of-theseus/multiemo_en_Nhotels_sentence-run-2,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,733.293064,0.7030181086519115,2.920394,0.4959016393442623,0.42160278745644597,0.45574387947269307,287,0.8529062870699882,0.6960309777347532,0.7665245202558636,1033,0.717208182912154,0.8232044198895028,0.7665594855305465,724,0.5485008818342152,0.7052154195011338,0.6170634920634921,441,0.653629247790155,0.6615134011454589,0.6514728443306488,2485,0.7181181401820481,0.7030181086519115,0.7041176621155274,2485,267873391,267832336,66958084
multiemo_en_Nhotels_sentence-run-3,multiemo_en_hotels_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,multiemo_en_Nhotels_sentence,data/models/bert-of-theseus/multiemo_en_Nhotels_sentence-run-3,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,740.892758,0.716297786720322,2.880191,0.5375,0.44947735191637633,0.4895635673624289,287,0.8215767634854771,0.7666989351403679,0.7931897846770155,1033,0.7667121418826739,0.7762430939226519,0.7714481811942348,724,0.541970802919708,0.673469387755102,0.6006066734074823,441,0.6669399270719648,0.6664721921836245,0.6637020516602903,2485,0.7231629824914065,0.716297786720322,0.7176119990187927,2485,267873391,267832336,66958084
multiemo_en_Nhotels_sentence-run-4,multiemo_en_hotels_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,multiemo_en_Nhotels_sentence,data/models/bert-of-theseus/multiemo_en_Nhotels_sentence-run-4,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,760.72328,0.6961770623742455,2.971457,0.4684014869888476,0.43902439024390244,0.45323741007194246,287,0.8312138728323699,0.6960309777347532,0.7576396206533194,1033,0.7451235370611183,0.7914364640883977,0.7675820495646348,724,0.5360824742268041,0.7074829931972789,0.6099706744868034,441,0.6452053427772849,0.6584937063160831,0.6471074386941751,2485,0.7118539112144497,0.6961770623742455,0.6991739783336025,2485,267873391,267832336,66958084
multiemo_en_Nhotels_sentence-run-5,multiemo_en_hotels_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nhotels_sentence,multiemo_en_Nhotels_sentence,data/models/bert-of-theseus/multiemo_en_Nhotels_sentence-run-5,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,735.030856,0.7054325955734406,2.983219,0.4929078014184397,0.4843205574912892,0.48857644991212656,287,0.8252747252747252,0.7270087124878993,0.7730313947503861,1033,0.7667121418826739,0.7762430939226519,0.7714481811942348,724,0.5375,0.6825396825396826,0.6013986013986015,441,0.6555986671439596,0.6675280116103808,0.6586136568138372,2485,0.7187567086273396,0.7054325955734406,0.7092588081703576,2485,267873391,267832336,66958084
multiemo_en_Nmedicine_sentence-run-1,multiemo_en_medicine_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,multiemo_en_Nmedicine_sentence,data/models/bert-of-theseus/multiemo_en_Nmedicine_sentence-run-1,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,757.053822,0.6485651214128035,3.21726,0.22485207100591717,0.49673202614379086,0.30957230142566194,153,0.6397058823529411,0.7393767705382436,0.6859395532194481,706,0.7115384615384616,0.6428571428571429,0.6754563894523327,518,0.8367029548989113,0.6058558558558559,0.7028086218158067,888,0.6031998424490578,0.6212054488487583,0.5934442164783124,2265,0.7053438705661095,0.6485651214128035,0.6647321645032235,2265,267873391,267832336,66958084
multiemo_en_Nmedicine_sentence-run-2,multiemo_en_medicine_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,multiemo_en_Nmedicine_sentence,data/models/bert-of-theseus/multiemo_en_Nmedicine_sentence-run-2,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,742.640801,0.6388520971302428,2.939591,0.24686192468619247,0.38562091503267976,0.3010204081632653,153,0.5955307262569832,0.7549575070821529,0.6658338538413491,706,0.6616541353383458,0.6795366795366795,0.6704761904761904,518,0.8397328881469115,0.5664414414414415,0.6765299260255547,888,0.5859449186071082,0.5966391357732385,0.5784650946265899,2265,0.6828407125801935,0.6388520971302428,0.6464459444760845,2265,267873391,267832336,66958084
multiemo_en_Nmedicine_sentence-run-3,multiemo_en_medicine_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,multiemo_en_Nmedicine_sentence,data/models/bert-of-theseus/multiemo_en_Nmedicine_sentence-run-3,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,735.427113,0.6578366445916115,2.868193,0.23591549295774647,0.43790849673202614,0.3066361556064073,153,0.6327944572748267,0.7762039660056658,0.6972010178117048,706,0.7130044843049327,0.6138996138996139,0.6597510373443983,518,0.8325859491778774,0.6272522522522522,0.7154784842646115,888,0.6035750959288458,0.6138160822223895,0.5947666737567805,2265,0.7026581028690831,0.6578366445916115,0.6694195062932526,2265,267873391,267832336,66958084
multiemo_en_Nmedicine_sentence-run-4,multiemo_en_medicine_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,multiemo_en_Nmedicine_sentence,data/models/bert-of-theseus/multiemo_en_Nmedicine_sentence-run-4,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,755.907127,0.6392935982339956,2.873508,0.2148997134670487,0.49019607843137253,0.29880478087649404,153,0.6391625615763546,0.7351274787535411,0.6837944664031621,706,0.6901709401709402,0.6235521235521235,0.6551724137931034,518,0.8349056603773585,0.597972972972973,0.6968503937007875,888,0.5947847188979255,0.6117121634275026,0.5836555136933868,2265,0.6989109042194288,0.6392935982339956,0.6563613619010432,2265,267873391,267832336,66958084
multiemo_en_Nmedicine_sentence-run-5,multiemo_en_medicine_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nmedicine_sentence,multiemo_en_Nmedicine_sentence,data/models/bert-of-theseus/multiemo_en_Nmedicine_sentence-run-5,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,746.793547,0.6304635761589404,2.836999,0.20851063829787234,0.3202614379084967,0.25257731958762886,153,0.5704567541302236,0.8314447592067988,0.6766570605187321,706,0.7049891540130152,0.6274131274131274,0.6639427987742595,518,0.8648148148148148,0.5259009009009009,0.65406162464986,888,0.5871928403139814,0.576255056357331,0.5618097008826201,2265,0.6921786019469358,0.6304635761589404,0.6362442856853306,2265,267873391,267832336,66958084
multiemo_en_Nproducts_sentence-run-1,multiemo_en_products_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_sentence,multiemo_en_Nproducts_sentence,data/models/bert-of-theseus/multiemo_en_Nproducts_sentence-run-1,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,1053.510438,0.6132075471698113,1.104855,0.6727272727272727,0.2824427480916031,0.39784946236559143,131,0.6984126984126984,0.7674418604651163,0.7313019390581718,344,0.7905405405405406,0.6030927835051546,0.6842105263157896,194,0.22981366459627328,0.5068493150684932,0.3162393162393162,73,0.5978735440691962,0.5399566767825918,0.5324003109947173,742,0.6718632120776735,0.6132075471698113,0.6192836371922329,742,267873391,267832336,66958084
multiemo_en_Nproducts_sentence-run-2,multiemo_en_products_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_sentence,multiemo_en_Nproducts_sentence,data/models/bert-of-theseus/multiemo_en_Nproducts_sentence-run-2,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,1014.980613,0.5835579514824798,0.999472,0.5308641975308642,0.3282442748091603,0.4056603773584906,131,0.7225609756097561,0.688953488372093,0.7053571428571428,344,0.7687074829931972,0.5824742268041238,0.6627565982404693,194,0.21505376344086022,0.547945205479452,0.3088803088803089,73,0.5592966048936694,0.5369042988662073,0.5206636068341028,742,0.65085223978189,0.5835579514824798,0.6023010905441145,742,267873391,267832336,66958084
multiemo_en_Nproducts_sentence-run-3,multiemo_en_products_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_sentence,multiemo_en_Nproducts_sentence,data/models/bert-of-theseus/multiemo_en_Nproducts_sentence-run-3,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,1013.004869,0.5983827493261455,0.986054,0.6271186440677966,0.2824427480916031,0.3894736842105263,131,0.7114285714285714,0.7238372093023255,0.717579250720461,344,0.7959183673469388,0.6030927835051546,0.686217008797654,194,0.22043010752688172,0.5616438356164384,0.3166023166023166,73,0.588723922592547,0.5427541441288805,0.5274680650827395,742,0.6703282103222081,0.5983827493261455,0.6120032125311746,742,267873391,267832336,66958084
multiemo_en_Nproducts_sentence-run-4,multiemo_en_products_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_sentence,multiemo_en_Nproducts_sentence,data/models/bert-of-theseus/multiemo_en_Nproducts_sentence-run-4,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,1019.589556,0.6064690026954178,0.95287,0.609375,0.29770992366412213,0.4,131,0.7313432835820896,0.7122093023255814,0.7216494845360825,344,0.8095238095238095,0.6134020618556701,0.6979472140762464,194,0.23979591836734693,0.6438356164383562,0.3494423791821561,73,0.5975095028683116,0.5667892260709325,0.5422597694486212,742,0.681890748841879,0.6064690026954178,0.6220464634656355,742,267873391,267832336,66958084
multiemo_en_Nproducts_sentence-run-5,multiemo_en_products_sentence,Bert-of-Theseus,data/multiemo2,data/models/bert-base-uncased/multiemo_en_Nproducts_sentence,multiemo_en_Nproducts_sentence,data/models/bert-of-theseus/multiemo_en_Nproducts_sentence-run-5,0.3,linear,0.00014,0,bert,,,,128,True,False,True,True,16,16,1,5e-05,0.01,1e-08,1.0,4.0,0,False,False,False,1,classification,16,16,1076.264361,0.628032345013477,0.975072,0.5454545454545454,0.32061068702290074,0.4038461538461538,131,0.7205479452054795,0.7645348837209303,0.7418899858956276,344,0.821917808219178,0.6185567010309279,0.7058823529411764,194,0.2662337662337662,0.5616438356164384,0.3612334801762115,73,0.5885385162782423,0.5663365268477993,0.5532129932147923,742,0.6714422619067599,0.628032345013477,0.6353439647242503,742,267873391,267832336,66958084
